cellType1 ,cellType2,cellType3,cell_type
palate1_1_1,palate1,palate1,ectoderm
MxP.1,MxP.1,MxP.1,mesenchyme
pLNP.5,pLNP.5,pLNP.2,mesenchyme
palate1_1_2,palate3,palate3,ectoderm
OE2.1,OE2,OE2,ectoderm
palatal.shelf2_1_1,palatal.shelf2,palatal.shelf2,mesenchyme
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
OE2.1,OE2,OE2,ectoderm
MxP.1,MxP.1,MxP.1,mesenchyme
palatal.shelf2_1_1,palatal.shelf2,palatal.shelf2,mesenchyme
cncc1,cncc1,lCNCC2,CNCCs
palatal.shelf2_1_1,palatal.shelf2,palatal.shelf2,mesenchyme
MxP.1,MxP.1,MxP.1,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
periderm1,periderm,periderm,ectoderm
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
pLNP.3,pLNP.3,pLNP.2,mesenchyme
pLNP.1_1,pLNP.1,pLNP.1,mesenchyme
periderm1,periderm,periderm,ectoderm
cncc1,cncc1,lCNCC2,CNCCs
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
palatal.shelf2_1_1,palatal.shelf2,palatal.shelf2,mesenchyme
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
palatal.shelf3_1,palatal.shelf4,palatal.shelf4,mesenchyme
other blood cells,other blood cells,other blood cells,other blood cells
palate1_1_3,palate4,palate4,ectoderm
pLNP.3,pLNP.3,pLNP.2,mesenchyme
pLNP.1_1,pLNP.1,pLNP.1,mesenchyme
palatal.shelf2_1_1,palatal.shelf2,palatal.shelf2,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
MxP.1,MxP.1,MxP.1,mesenchyme
pLNP.3,pLNP.3,pLNP.2,mesenchyme
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
MxP.1,MxP.1,MxP.1,mesenchyme
pLNP.2_2,pLNP.2,pLNP.1,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
pLNP.3,pLNP.3,pLNP.2,mesenchyme
palate1_1_3,palate4,palate4,ectoderm
pLNP.1_1,pLNP.1,pLNP.1,mesenchyme
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
palate1_1_1,palate1,palate1,ectoderm
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme
pLNP.3,pLNP.3,pLNP.2,mesenchyme
pLNP.2_3,pLNP.7,pLNP.1,mesenchyme
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
palatal.shelf1,palatal.shelf1,palatal.shelf1,mesenchyme
palate1_1_3,palate4,palate4,ectoderm
palatal.shelf3_1,palatal.shelf4,palatal.shelf4,mesenchyme
muscle progenitors,muscle progenitors,muscle progenitors,muscle progenitors
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
pLNP.1_1,pLNP.1,pLNP.1,mesenchyme
pLNP.2_1,pLNP.6,pLNP.2,mesenchyme
palatal.shelf3_2_1,palatal.shelf3,palatal.shelf2,mesenchyme
pLNP.3,pLNP.3,pLNP.2,mesenchyme
palatal.shelf2_1_2,palatal.shelf5,palatal.shelf3,mesenchyme